Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
ENOCH EVANS,5,18,3,85,23,0,4,0,3,106,28,275
KWW,0,7,2,59,38,0,2,0,5,112,50,275
LAND REFERENCING SERVICES LLP,0,0,0,0,0,0,0,0,2,273,0,275
NATIONAL GRID GAS DISTRIBUTION LTD,0,0,0,0,0,0,0,0,0,184,91,275
Pengillys,5,7,2,82,27,0,4,0,1,104,43,275
PORTSMOUTH CITY COUNCIL,0,0,0,6,9,0,0,0,10,235,15,275
BLANDY & BLANDY LLP,3,0,3,25,32,0,6,0,0,170,35,274
Clark & Weeks,0,14,7,43,52,0,60,0,3,66,29,274
ECCLES HEDDON & CO,10,0,10,52,30,0,5,0,7,115,45,274
FARNWORTH ROSE SOLICITORS,1,3,2,52,44,0,5,0,5,115,47,274
GRANT THORNTON UK LLP,0,0,0,9,0,1,0,0,0,164,100,274
Gudgeons Prentice,7,3,7,67,30,0,6,0,16,104,33,273
WOOLLISCROFTS,5,2,2,81,37,0,4,0,10,101,31,273
COLLINGBOURNE HENNAH LAW LLP,5,0,6,102,81,0,6,0,3,44,25,272
CONNELLEY & COMPANY,2,2,4,49,66,0,4,0,3,109,33,272
LEWIS LEWIS & CO LTD,7,1,2,71,29,0,3,0,9,116,34,272
MICHAEL HILL PARTNERSHIP,0,3,33,37,14,0,67,0,1,77,40,272
URBANPOINT PROPERTY MANAGEMENT LTD,0,0,0,25,2,0,2,0,0,207,36,272
BENNETT OAKLEY & PARTNERS,2,7,4,52,38,0,11,0,0,110,47,271
RUDLINGS WAKELAM SOLICITORS,7,1,1,57,36,0,4,0,7,109,49,271
SANDWELL METROPOLITAN  BOROUGH COUNCIL,1,0,1,10,1,0,0,0,7,234,17,271
DICKINSON PARKER HILL & SON,3,4,2,55,19,0,7,0,5,130,45,270
GRAHAM & ROSEN,4,2,5,64,35,0,6,0,3,116,35,270
THE GUINNESS PARTNERSHIP LIMITED,0,0,0,0,0,0,0,0,0,140,130,270
VICARAGE COURT SOLICITORS LTD,3,6,2,87,48,0,4,0,2,87,31,270
POOLE TOWNSEND,0,0,4,65,24,0,5,0,12,111,48,269
PRESTON REDMAN LLP,0,0,1,62,22,2,10,0,2,140,30,269
SCOTT BAILEY LLP,1,4,3,58,23,1,7,0,5,116,51,269
BORNEO MARTELL TURNER COULSTON,2,6,5,63,35,0,5,0,4,100,48,268
BRUTON KNOWLES,0,0,0,0,0,0,0,0,0,259,9,268
HARVEY COPPING & HARRISON,4,2,3,56,35,0,4,0,7,122,35,268
R & B LEGAL LIMITED,5,2,2,67,33,0,7,0,18,98,36,268
COPLEYS,7,3,2,52,41,0,7,0,2,111,42,267
Gordons Partnership LLP,1,15,0,42,25,0,26,0,0,121,37,267
NEWPORT CITY COUNCIL,0,0,1,5,1,0,0,0,2,254,4,267
DOUGLAS AND GORDON LIMITED,0,0,0,0,0,0,0,0,0,224,42,266
NOW LEGAL LLP SOLICITORS,5,3,4,63,39,0,5,0,0,87,60,266
WALKER FOSTER,6,4,4,63,38,0,13,0,8,92,38,266
BTMK SOLICITORS LLP,3,6,1,35,9,0,4,0,0,152,55,265
FREEHOLD MANAGERS PLC,0,0,0,1,0,0,0,0,0,194,70,265
PARDOES,6,5,4,64,40,0,11,0,8,85,42,265
PARKER BULLEN,0,3,6,58,33,0,6,0,2,111,46,265
BEXLEY LONDON BOROUGH,0,0,0,25,18,0,0,0,4,208,9,264
BOWSER OLLARD & BENTLEY LIMITED T/A BOWSERS,7,2,15,63,44,0,26,0,5,78,24,264
LEWIS SILKIN,0,4,0,15,3,0,17,0,10,153,62,264
QUALITY SOLICITORS DE VITA PLATT,0,0,0,1,2,0,2,0,1,252,6,264
SANTANDER UK PLC,0,0,0,0,0,0,0,0,0,205,59,264
SLAUGHTER & MAY,0,8,0,65,4,0,1,0,2,149,35,264
UNDERWOOD VINECOMBE LLP,4,2,8,64,65,0,13,0,3,75,30,264
WALL JAMES CHAPPELL,2,4,2,53,26,0,5,0,13,123,36,264
BERWINS,5,4,11,53,44,0,10,1,9,91,35,263
Brain Chase Coles,0,17,19,45,24,0,32,0,0,85,41,263
JOELSON JD LLP,2,6,1,37,35,0,10,0,11,122,39,263
KINGFIELDS,0,33,1,93,17,0,44,0,2,52,21,263
LEE BOLTON MONIER-WILLIAMS,5,5,6,40,16,0,11,0,5,136,39,263
STREATHERS CLAPHAM LLP,0,6,0,46,23,1,3,0,1,138,45,263
ABACUS SOLICITORS,1,0,2,35,48,0,13,0,11,117,35,262
C G M CHARTAHOUSE BLATCH,3,3,3,49,57,0,2,0,4,92,49,262
MARSHALLS,0,9,2,56,26,0,8,0,0,114,47,262
RAY NIXON BROWN,2,2,8,70,32,0,2,0,3,93,50,262
STL GROUP PLC,0,0,0,0,23,0,2,0,34,199,4,262
BENNETTS SOLICITORS (MACCLESFIELD),3,0,2,42,48,0,1,0,1,120,44,261
COHEN FILIPPINI SOLICITORS,2,31,8,23,12,0,84,0,0,71,30,261
ESSEX COUNTY COUNCIL,6,0,0,37,2,0,3,0,6,183,24,261
NETWORK STADIUM HOUSING ASSN LTD,0,0,0,22,0,0,0,0,0,182,57,261
SPICERHAART RES LETTINGS LTD,0,0,0,0,0,0,0,0,0,257,4,261
BATES WELLS & BRAITHWAITE (SUFFOLK),7,0,4,41,38,0,7,0,6,106,51,260
BRIGHT & SONS MALDON,10,1,2,46,23,0,7,0,6,111,54,260
CARDIFF COUNTY COUNCIL,2,0,0,23,1,0,0,0,0,218,16,260
AMD SOLICITORS LTD,1,7,1,60,31,0,3,0,4,106,46,259
JOSIAH HINCKS,6,1,6,54,39,0,6,0,1,112,34,259
MICHAEL KELLY & CO,2,4,0,55,36,0,16,0,0,119,27,259
SMITH SUTCLIFFE,1,0,3,39,44,0,8,0,16,115,33,259
CLARKES SOLICITORS,4,6,7,55,35,0,14,0,2,91,44,258
STRATEGA LAW LIMITED,0,13,2,78,48,0,5,0,0,68,44,258
THOMAS SIMON SOLICITORS,0,2,9,49,36,0,6,0,0,120,36,258
Blythe Liggins,0,7,3,59,31,2,11,0,7,107,30,257
FRESHWATER PROPERTY MANAGEMENT LTD,0,2,0,2,0,0,0,0,3,219,31,257
INGHAMS,7,3,1,56,37,0,1,0,7,117,28,257
LYNCH HALL & HORNBY,1,9,6,36,39,0,2,0,0,117,47,257
MAYER BROWN INTERNATIONAL LLP,0,2,0,40,13,4,5,0,3,170,20,257
MORLEY BROWN & CO,6,6,8,44,37,0,15,0,6,102,33,257
PCB SOLICITORS,7,3,5,58,27,0,5,0,11,103,38,257
ROACH PITTIS,1,4,4,37,39,0,4,0,5,123,40,257
ASTLE PATERSON LTD,8,0,5,65,40,0,5,0,10,87,36,256
Harold G Walker Solictors,0,6,3,55,30,0,6,0,0,109,47,256
JACKAMAN SMITH & MULLEY,5,0,3,61,25,0,5,0,5,110,42,256
KBL SOLICITORS LLP,0,0,5,51,25,0,9,0,3,127,36,256
BAKER TILLY UK HOLDINGS LIMITED,0,0,0,22,0,0,0,0,0,209,24,255
EDMUND CUDE AND BOOTH LTD,0,0,0,0,0,0,0,0,0,255,0,255
LEASEHOLD VALUERS LLP,0,0,0,1,0,0,0,0,0,116,138,255
Barker Booth & Eastwood,4,1,3,64,53,0,6,0,8,81,34,254
CLARKE MAIRS LLP,0,5,1,51,17,0,14,0,3,127,36,254
COCHRANES LAW FIRM LIMITED,1,0,3,56,41,0,7,0,1,92,53,254
HAVEN POWER LIMITED,0,0,0,0,0,0,0,0,0,254,0,254
Page Nelson,4,4,4,66,51,0,7,0,3,75,40,254
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,221,33,254
ARUN DISTRICT COUNCIL,0,0,2,5,1,0,0,0,2,225,18,253
CORE LEGAL LIMITED,2,2,5,72,69,0,10,0,1,58,34,253
LEADERS LIMITED,0,0,0,0,0,0,0,0,0,253,0,253
PROSPECT ESTATE AGENCY LTD,0,0,0,0,0,0,0,0,0,252,0,252
BATTRICK CLARK,4,6,10,53,52,0,9,0,0,80,37,251
BINDMAN & CO,1,2,3,48,46,0,7,0,2,93,49,251
GODWINS SOLICITORS LLP,3,1,1,47,16,0,12,0,5,126,40,251
LB OF HARINGEY HOMES FOR HARINGEY,0,0,0,0,0,0,0,0,0,245,6,251
MOORE & TIBBITS (QUALITY SOLICITORS),3,0,4,47,34,0,4,0,6,120,33,251
RHODES & WALKER,0,0,22,40,31,0,67,0,0,58,33,251
SJS LAW,0,1,0,6,2,0,0,0,1,136,105,251
STEVENSDRAKE,2,10,1,42,9,0,2,0,1,160,24,251
GREENBERG TRAURIG MAHER LLP,0,0,2,23,29,2,0,0,2,151,41,250
HUMFRYS & SYMONDS,5,1,5,30,34,0,1,0,6,124,44,250
HUNTERS (LONDON),1,7,8,41,7,0,1,0,1,153,31,250
LYNN MURRAY,0,0,6,50,20,0,3,0,6,113,52,250
MALCOLM HOLLIS LLP,0,0,0,0,0,0,0,0,0,248,2,250
VANDERPUMP & SYKES LLP,0,10,2,65,22,0,7,0,0,119,25,250
BATES N V H,3,4,0,29,47,0,10,0,2,111,43,249
KIRKHAM CONVEYANCING,1,2,1,36,38,0,7,0,0,121,43,249
RADCLIFFE LE BRASSEUR,0,3,1,39,27,0,6,0,2,126,45,249
SHAKESPEARE MARTINEAU LLP (8628053),0,16,0,9,13,1,4,0,11,158,37,249
SIMARC PROPERTY MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,38,211,249
BATES WELLS & BRAITHWAITE (LONDON),3,4,0,45,13,0,3,0,2,155,23,248
FOOTNER & EWING,1,4,1,45,38,0,5,0,2,101,51,248
MCQUADES RESIDENTIAL CONVEYANCING,6,1,6,63,60,0,9,0,3,78,22,248
MOSS SOLICITORS,2,2,5,46,39,0,5,0,6,104,39,248
NYLAND & BEATTIE,3,4,4,44,45,0,8,0,2,94,44,248
TONNER JOHNS RATTI LIMITED,4,5,1,34,38,0,11,0,5,121,29,248
BLACK HORSE LIMITED,0,0,0,76,0,0,0,0,0,171,0,247
Cyril Jones & Co,8,0,3,63,40,0,5,0,4,97,27,247
LAW & PROPERTY LAWYERS LTD,5,6,5,66,40,0,8,0,1,88,28,247
TWOMLOWS,5,0,9,37,35,0,1,0,2,109,49,247
Vincent & Co,5,3,2,51,44,0,3,0,1,98,40,247
AWB PARTNERSHIP,2,6,5,62,18,0,2,0,7,100,44,246
BENDLES LLP,0,5,2,56,46,0,6,0,20,79,32,246
TOWER HAMLETS HOMES LIMITED,0,0,0,2,0,0,0,0,0,191,53,246
WOODHOUSE & COMPANY,0,1,5,54,46,0,22,0,2,87,29,246
Swayne Johnson Limited,7,1,4,50,35,0,1,0,5,118,24,245
THATCHER & HALLAM,2,11,2,63,31,0,4,0,4,88,40,245
NEWCASTLE BUILDING SOCIETY,0,0,0,89,50,0,0,0,0,101,4,244
NEWHAM BOROUGH COUNCIL,0,0,0,6,14,0,0,0,0,198,26,244
WILL WRITING COMPANY,4,0,0,24,0,0,0,0,0,215,1,244
LEEDS DAY,5,6,4,60,29,1,6,0,2,100,30,243
NEMO PERSONAL FINANCE LIMITED,0,0,0,241,0,0,0,0,0,2,0,243
CORNISH VENNING CHELLEWS SOLICITORS,16,4,9,41,24,0,7,0,3,99,39,242
J P GOLDMAN LIMITED,2,2,1,57,48,0,8,0,0,79,45,242
LDJ SOLICITORS,7,0,7,50,32,0,6,0,3,112,25,242
MARTIN SMALLEY & CO,1,0,1,49,47,0,9,0,4,91,40,242
MASTHAVEN BANK LIMITED,0,0,0,13,0,0,0,0,0,228,1,242
MAURICE TURNOR GARDNER LLP,0,6,0,14,5,0,1,0,4,128,84,242
ROLLASONS,2,6,6,51,44,0,7,0,2,86,38,242
Borlase & Company,3,9,11,44,30,0,6,0,4,101,33,241
DEBORAH J HOBAN,6,1,6,78,54,0,1,0,0,72,23,241
DIRECT LEGAL & COLLECTIONS,0,0,0,0,0,0,0,0,0,241,0,241
MEADE KING,1,6,4,39,27,2,5,0,15,101,41,241
RUBIN LEWIS O'BRIEN,2,2,3,66,29,2,5,0,3,91,38,241
SPARLING BENHAM & BROUGH,7,1,5,45,18,0,6,0,8,105,46,241
EALING LONDON BOROUGH,1,0,0,32,9,0,0,0,0,192,6,240
FINN GLEDHILL & CO,1,2,6,63,26,0,9,0,8,100,25,240
HAROLD STOCK & CO,2,3,1,47,37,0,2,0,4,122,21,239
KNOWLES BENNING,2,0,5,52,30,0,4,0,3,108,35,239
SAMUEL PHILLIPS & CO,1,16,10,43,32,0,54,0,0,50,33,239
SUTTON-MATTOCKS & CO,0,9,1,63,38,0,3,0,0,98,27,239
TIMMS,0,0,5,34,47,0,7,0,5,91,50,239
GS SOLICITORS,2,0,10,51,23,0,4,0,2,125,21,238
NEW LIFE MORTGAGES LTD,0,0,0,30,0,0,0,0,0,208,0,238
ASHFORD BOROUGH COUNCIL,0,0,0,4,0,0,0,0,0,231,2,237
GABB & CO,7,3,4,49,16,0,6,0,6,114,32,237
GLP SOLICITORS,0,3,0,48,47,0,3,0,1,83,52,237
John Hodge,3,1,4,31,16,0,6,0,6,139,31,237
NORTHERN GAS NETWORKS LIMITED,0,0,0,0,0,0,0,0,0,214,23,237
PARRY CARVER,0,2,4,50,35,0,5,0,4,84,53,237
RAWORTHS LLP,3,5,5,46,26,1,8,0,18,98,27,237
RETAIL MONEY MARKET LIMITED,0,0,0,0,0,0,0,0,0,237,0,237
STEPIEN LAKE LLP,0,5,1,58,7,0,2,0,1,123,40,237
MICHAEL LEIGHTON JONES,1,1,0,57,53,0,2,0,4,75,43,236
TOLLER BEATTIE LLP,2,3,13,47,25,0,56,0,0,52,38,236
Windeatts,3,0,6,59,31,0,7,0,5,93,32,236
BAWTREE & SONS,3,10,19,64,14,0,4,0,1,88,32,235
BROMETS JACKSON HEATH LLP,4,1,3,63,37,0,4,0,4,94,25,235
DAVID & SNAPE,5,3,2,66,28,0,6,0,7,90,28,235
Hallmarkhulme Solicitors,6,2,5,68,18,0,11,0,8,84,33,235
LENDINVEST LIMITED,0,0,0,0,0,0,0,0,0,235,0,235
BANK OF CYPRUS,0,0,0,4,0,0,0,0,0,224,6,234
CORMAC SOLUTIONS LIMITED,0,0,0,0,0,0,0,0,0,234,0,234
ECO GREEN WORLD LTD,0,0,0,0,0,0,0,0,0,234,0,234
LEADENHALL LAW GROUP LTD,0,6,4,45,52,0,9,0,1,78,39,234
PERSIMMON (MIDLANDS REGION - NORTHAMPTON OFFICE),0,0,0,13,18,0,0,0,0,153,50,234
RIDLEY & HALL LLP,6,3,6,79,43,0,7,0,5,65,20,234
WALKER & CO,4,1,7,46,42,0,19,0,6,77,32,234
CLARKSON WRIGHT & JAKES,0,10,2,61,16,0,2,0,1,103,38,233
DAVID EBERT,2,2,3,62,47,0,3,0,3,74,37,233
DAVIS BLANK FURNISS,5,1,3,34,26,0,3,0,2,128,31,233
GRAYSONS SOLICITORS,0,0,3,63,29,0,3,0,5,85,45,233
SHARED ACCESS LTD,0,2,0,3,32,0,0,0,2,169,25,233
BENNETT GRIFFIN & PARTNERS,3,16,3,63,28,4,7,0,3,81,24,232
CUMBRIA COUNTY COUNCIL,3,0,1,3,0,0,0,0,7,187,31,232
ILETT AND CLARK,14,0,2,60,28,0,3,0,3,93,29,232
LEES SOLICITORS,6,1,0,43,47,0,0,0,9,98,28,232
LIDL UK GMBH,0,0,0,0,0,0,0,0,0,156,76,232
LONDON BOROUGH OF MERTON,0,1,0,36,6,0,0,0,2,161,26,232
MEIKLES SOLICITORS,6,1,6,74,34,0,9,0,5,73,24,232
SAVILLS (L&P) LIMITED,0,0,0,0,0,0,0,0,0,204,28,232
BIRDSALL & SNOWBALL,2,2,3,53,29,0,6,0,9,96,31,231
BLACKPOOL BOROUGH COUNCIL,1,0,0,8,7,0,0,0,1,207,7,231
IVES & CO,3,3,3,57,38,0,11,0,5,74,37,231
DODD AND VAUGHTON,1,0,1,48,45,0,3,3,5,73,51,230
FREDERIC HALL & CO,0,6,0,60,23,0,5,0,6,103,27,230
LAMB & HOLMES SOLICITORS,3,6,4,58,39,0,11,0,3,78,28,230
PALMERS (BEDFORD),1,3,4,58,29,0,6,0,1,93,35,230
PERRIN MYDDLETON,0,3,8,35,13,0,51,0,12,78,30,230
ROCKWELL PROPERTIES LIMITED,0,0,0,0,0,0,0,0,0,230,0,230
CUNNINGTONS LLP,0,6,2,67,40,0,21,0,2,56,35,229
GIFFEN COUCH & ARCHER,1,6,5,62,44,0,6,0,2,71,32,229
JL SECURITIES (NO.1) LIMITED,0,0,0,0,0,0,0,0,0,115,114,229
WHITEHEAD & LOW,1,3,2,36,34,0,11,0,14,72,56,229
AMITY CONVEYANCING,0,0,1,17,30,0,2,0,1,132,45,228
BROWN & MURRAY,5,0,7,72,54,0,2,0,4,65,19,228
CRYSTAL MORTGAGES LIMITED,0,0,0,0,0,0,0,0,0,225,3,228
GERALD EVE LLP,0,0,0,0,0,0,0,0,0,136,92,228
H F T GOUGH & CO,3,1,9,43,34,0,4,0,11,94,29,228
KIDD & SPOOR,1,2,4,36,56,0,8,0,0,90,31,228
WHITMORE LAW,1,12,1,61,28,0,0,0,1,103,21,228
EWART PRICE,1,5,3,50,33,1,10,0,0,83,41,227
WATSON FARLEY & WILLIAMS LLP,0,1,0,2,37,1,1,0,10,123,52,227
AH BROOKS & CO,4,0,3,56,59,0,5,0,6,71,22,226
ALAN SAMUELS & CO,0,44,0,43,5,0,68,0,1,47,18,226
CHALLENOR GARDINER,0,1,2,35,38,0,8,0,0,100,42,226
DOVEDON LTD,0,0,0,37,0,0,0,0,0,186,3,226
HORWOOD & JAMES,3,2,3,46,16,0,4,0,3,109,40,226
JACOBS & REEVES,0,11,7,74,20,0,7,0,3,78,26,226
MCCLOY LEGAL,4,9,1,50,26,0,1,0,5,94,36,226
MONRO WRIGHT & WASBROUGH LLP,1,9,2,40,23,0,14,0,3,109,25,226
OXFORDSHIRE COUNTY COUNCIL,0,0,3,12,2,19,22,0,5,138,25,226
ROTHERHAM & CO,1,2,3,35,27,0,3,0,1,101,53,226
SQUARE ONE LAW LLP,1,3,2,42,16,0,8,0,5,125,24,226
BARCLAYS WEALTH,0,0,0,100,1,0,0,0,0,56,68,225
BRINDLEY TWIST TAFFT & JAMES,1,3,1,58,23,0,7,0,5,98,29,225
D C KAYE & CO,4,3,4,49,28,0,3,0,1,89,44,225
DIXON RIGBY KEOGH,7,5,2,64,29,0,4,0,6,88,20,225
GRAHAM WITHERS & CO,1,2,7,56,33,0,4,0,2,100,20,225
SAMPSON COWARD,3,13,2,55,32,4,6,0,1,75,34,225
BUTCHER ANDREWS,12,2,3,39,28,0,2,0,11,101,26,224
CROSBY & WOODS,1,10,1,41,43,0,2,0,0,85,41,224
FDC LAW,6,1,3,52,44,0,6,0,4,76,32,224
GOODMAN GRANT SOLICITORS,1,3,0,35,30,0,2,0,2,108,43,224
LARGE & GIBSON,0,2,4,49,49,0,6,0,4,78,32,224
LARKEN & CO,4,2,12,54,48,0,3,0,1,76,24,224
LITTLESTONE COWAN SOLICITORS,2,5,0,54,39,0,2,0,1,97,24,224
LONGESPEE & CO,0,4,1,29,8,0,1,0,3,118,60,224
Patterson Glenton & Stracey,1,4,2,35,39,1,1,0,4,102,35,224
SHERGILL & CO,0,8,2,58,35,0,4,0,2,93,22,224
STEELS,1,2,3,39,35,0,2,0,4,108,30,224
CAPSTICK-DALE & PARTNERS,1,4,1,34,31,0,1,0,5,105,41,223
GOULD & SWAYNE,5,1,3,44,23,0,9,0,2,91,45,223
HOUSING AND PROPERTY LAW PARTNERSHIP,0,14,1,41,12,0,3,0,2,112,38,223
JACKLYN DAWSON HURLEY,2,1,6,33,17,0,8,0,5,120,31,223
KITSON & TROTMAN SOLICITORS,4,1,4,32,28,0,6,0,2,107,39,223
LAMBERT TAYLOR & GREGORY,11,1,2,75,17,0,3,0,6,85,23,223
LAND GRAHAM PARTNERSHIP LLP,0,24,2,61,25,1,8,0,0,75,27,223
MORRISH SOLICITORS LLP,6,0,1,38,33,0,3,0,10,98,34,223
Mowbray Woodwards with Ingles,2,3,2,50,27,0,12,0,2,86,39,223
THE OWEN-KENNY PARTNERSHIP,3,3,2,50,35,0,7,0,3,84,36,223
WALKER FOSTER LIMITED,2,1,7,47,44,0,12,0,1,81,28,223
BGW LAW LIMITED,4,1,1,39,35,0,5,0,5,105,27,222
CORE LAW GROUP LLP,0,6,0,43,35,1,2,0,2,98,35,222
HEALD NICKINSON,1,13,18,38,26,0,13,0,0,85,28,222
THE LAW OFFICE OF PAUL D'AMBROGIO (PDA-LAW),0,19,8,20,13,0,75,0,1,55,31,222
WATSONS LAW LLP,0,4,1,37,44,0,4,0,0,89,43,222
BATCHELORS SOLICITORS,4,2,1,34,17,0,3,0,6,112,42,221
COOLE & HADDOCK,0,14,0,110,7,0,3,0,0,64,23,221
GABBS SOLICITORS,3,4,5,50,28,0,5,0,1,91,34,221
JOHN BARKERS,2,1,3,56,39,0,4,0,2,99,15,221
LAND SEARCH SERVICE LIMITED,0,0,0,0,0,0,0,0,0,176,45,221
PROGRESSION SOLICITORS,4,6,8,52,21,1,5,0,7,92,25,221
ROBERT BARBER & SONS,3,1,3,44,39,0,10,0,0,80,41,221
TUDOR OWEN ROBERTS GLYNNE & CO,6,0,4,56,22,0,2,0,7,105,19,221
BEDFORD BOROUGH COUNCIL,0,0,0,6,0,0,0,0,0,207,7,220
BURROUGHS DAY LLP,1,0,0,54,38,1,5,0,7,75,39,220
FRIIS & RADSTONE,3,3,4,30,30,0,12,0,0,86,52,220
NICHOLAS & CO,0,4,1,25,12,0,4,0,5,133,36,220
PARTRIDGE ALLEN,2,5,1,41,22,1,9,0,3,104,32,220
PICKERING & BUTTERS LLP,1,2,3,43,31,0,15,0,3,94,28,220
TOTAL GAS & POWER LIMITED,0,0,0,0,0,0,0,0,0,220,0,220
ARNOLD THOMSON LIMITED,3,1,13,53,15,0,5,0,9,88,32,219
BEALS ESTATE AGENTS LTD,0,0,0,0,0,0,0,0,0,219,0,219
CHORUS LAW LIMITED,0,0,0,0,0,0,0,0,31,153,35,219
HECKFORD NORTON & CO,5,3,6,62,32,2,7,0,2,69,31,219
PARKINGEYE LTD,0,0,0,0,0,0,0,0,0,209,10,219
BRUCE LANCE & CO,0,9,6,35,21,0,9,0,3,103,32,218
FRASER & FRASER,0,0,0,0,0,0,0,0,0,218,0,218
OKELLS WITH FRANCISLAW LLP,8,1,7,42,28,0,4,0,2,90,36,218
TAYLOR WIMPEY UK LTD  (MIDLANDS),0,0,2,10,14,0,1,0,4,134,53,218
TRANSPORT FOR LONDON,5,0,0,10,0,0,0,0,5,162,36,218
Gard & Co,0,4,2,52,50,0,8,0,2,74,25,217
MOSS & COLEMAN SOLS,0,3,0,39,21,0,0,0,0,126,28,217
CHARLES COOK & COMPANY LIMITED,1,4,1,26,9,0,5,0,5,120,45,216
CONNECT2LAW LTD,0,1,0,25,11,0,0,0,0,134,45,216
CUBISM LAW,1,5,0,23,13,0,7,0,0,122,45,216
EXCELLO LAW LIMITED,1,4,4,36,26,0,8,0,10,100,27,216
GILBERT DAVIES & PARTNERS,6,0,6,55,33,0,1,0,5,83,27,216
HARRISONS SOLICITORS LLP (POWYS),5,2,0,44,23,0,4,0,17,97,24,216
SALUSBURYS HARDING & BARLOW,3,7,7,42,20,0,10,0,8,83,36,216
SILKS,1,4,11,42,33,0,11,0,2,90,22,216
THE LAW PRACTICE UK LTD,0,0,2,41,41,0,3,0,2,102,25,216
AAH PLANNING CONSULTANTS LTD,0,0,0,0,0,0,0,0,0,215,0,215
AMICUS SOLICITORS,3,4,13,53,33,0,25,0,8,52,24,215
FIELD OVERELL,2,4,11,49,27,0,30,0,0,68,24,215
GFEA LIMITED,0,0,0,0,0,0,0,0,0,213,2,215
SOTHEBY'S INTERNATIONAL REALTY LTD,0,0,0,0,0,0,0,0,0,215,0,215
WATSONS SOLICITORS,2,1,4,62,36,0,12,0,0,71,27,215
ALSTERS KELLEY,2,3,16,53,24,0,19,0,2,70,25,214
AVIVA LEGAL SERVICES,0,1,0,19,5,0,0,0,0,175,14,214
DAVID W HARRIS & CO,1,0,7,47,29,0,3,0,0,105,22,214
WATSON WOODHOUSE,2,1,1,55,51,0,10,0,0,66,28,214
Ashworths Solicitors,2,16,1,34,25,0,7,0,3,88,37,213
CARTWRIGHT CUNNINGHAM HASELGROVE & CO,3,9,0,35,27,0,7,0,1,100,31,213
CHESHIRE WEST & CHESTER BOR COUN,0,0,0,15,4,0,0,0,0,151,43,213
DONN  & CO,0,3,20,32,28,0,54,0,3,46,27,213
KARIS SPYRIS LLP,0,5,0,49,38,0,4,0,1,81,35,213
PAYNE MARSH STILLWELL,0,25,1,68,21,0,7,0,0,64,27,213
SLEIGH SON & BOOTH,5,2,0,50,28,0,1,0,3,93,31,213
WRIGLEY CLAYDON,1,1,4,44,28,0,3,0,1,104,27,213
ARNISON HEELIS,3,1,3,38,30,0,4,0,10,89,34,212
BEETON EDWARDS LLP,2,5,5,55,39,0,5,0,2,62,37,212
HARROPS & HEPBURN SOLICITORS (H&H LAWYERS T/A),2,5,2,48,19,0,2,0,3,103,28,212
JORDANS (ROWLEY REGIS),3,2,4,42,29,0,4,0,1,96,31,212
KNOCKER & FOSKETT,1,6,3,40,18,1,7,0,2,107,27,212
LEASEHOLD LAW LLP,0,23,0,64,0,0,13,0,0,77,35,212
STEPHENSONS (BRIERLEY HILL/WOLVERHAMPTON),3,0,9,38,29,0,3,0,7,89,34,212
STRATFORD SOLICITORS LIMITED,2,2,0,24,20,0,3,0,8,101,52,212
WYKEHAM-HURFORD SHEPPARD & SON,0,7,5,62,21,0,0,0,0,86,31,212
CLOUGH & WILLIS,4,1,0,55,31,1,1,0,6,93,19,211
GOODLAW SOLICITORS,1,3,4,54,33,0,2,0,0,80,34,211
HEDGES SOICITORS T/A HEDGES LAW LIMITED,1,2,3,48,28,0,4,0,3,90,32,211
J H MAITLAND-WALKER,0,2,6,42,28,0,7,0,8,86,32,211
MARSDEN DUNCAN,0,2,0,61,36,0,1,0,1,79,31,211
SHERWOOD SOLICITORS,0,7,1,31,31,0,5,0,0,95,41,211
COCKS LLOYD,1,1,7,38,27,0,7,0,24,84,21,210
DFA Law,0,3,9,52,26,1,1,0,3,92,23,210
LATTEY & DAWE,0,8,2,53,33,0,13,0,2,78,21,210
RICHARD PEARLMAN LLP,0,7,0,39,25,0,10,0,5,92,32,210
ROHAN SOLICITORS LLP,1,5,3,41,13,0,8,0,4,91,44,210
F BARNES & SON,3,5,1,45,26,0,0,0,4,100,25,209
HOLROYD & CO,1,1,1,39,38,0,3,0,2,103,21,209
MANDER CRUICKSHANK,2,4,10,55,31,0,10,0,2,67,28,209
MARGARET REYNOLDS,4,5,4,54,18,0,8,0,5,84,27,209
MEADOWS & MORAN,0,3,1,28,24,0,3,0,0,116,34,209
Morecrofts LLP,3,2,0,52,27,0,1,0,7,91,26,209
AUSTIN GRAY LLP,0,0,0,0,0,0,0,0,0,131,77,208
MOSELEYS,3,4,2,37,29,0,6,0,0,95,32,208
NABARRO LLP,4,9,5,175,0,0,0,0,0,12,3,208
Parnalls Solicitors Ltd,1,2,4,59,36,0,5,0,6,85,10,208
WOODCOCK & THOMPSON,4,2,0,36,23,0,2,0,4,95,42,208
DIXON STEWART,0,1,4,53,39,0,2,0,3,73,32,207
LUTON BOROUGH COUNCIL,1,2,0,17,1,16,0,0,2,162,6,207
ATHERTON GODFREY SOLICITORS,3,5,12,40,31,0,8,0,2,84,21,206
Burley & Geach,2,2,2,35,17,0,6,0,12,101,29,206
LAW AND LAWYERS LTD,0,6,0,55,53,0,10,0,0,60,22,206
