Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
WESTERN POWER DISTRIBUTION PLC,0,0,0,0,0,0,0,0,0,1372,61,1433
STAR LEGAL LLP,16,20,30,307,202,0,77,0,19,524,236,1431
ASCENT LEGAL,0,0,0,7,0,0,0,0,0,1058,353,1418
CLYDE & CO LLP,1,63,9,163,88,1,39,0,27,837,188,1416
FIELDFISHER LLP,3,19,11,284,196,6,70,0,14,689,123,1415
BIRMINGHAM CITY COUNCIL,5,0,6,45,3,1,1,0,109,1203,38,1411
HAMLINS LLP,0,7,1,83,95,7,24,0,13,821,360,1411
NIMBUS PROPERTY SYSTEMS LIMITED,0,0,0,0,0,0,0,0,0,1105,300,1405
ERIC ROBINSON SOLICITORS,9,60,46,208,180,1,215,0,11,461,204,1395
PROPERTY DEBT COLLECTION LIMITED,0,0,0,0,0,0,0,0,0,1150,244,1394
HOWARD KENNEDY FSI,0,32,2,320,78,12,44,0,26,693,177,1384
COVENTRY BUILDING SOCIETY,0,0,0,522,573,0,0,0,0,249,23,1367
BANNER JONES LIMITED,24,10,22,262,203,1,29,0,8,539,265,1363
FAIRFAX,0,0,0,297,0,58,0,0,4,797,206,1362
GLANVILLES LLP,13,23,13,245,183,1,30,8,19,593,233,1361
HLW KEEBLE HAWSON,11,16,11,265,198,0,16,0,44,549,223,1333
RESTONS,0,0,0,630,0,0,0,0,0,683,18,1331
BISHOP & SEWELL,2,42,2,165,95,0,85,0,11,645,277,1324
COODES,28,27,37,263,173,1,75,0,23,493,200,1320
Gorvins,9,42,12,224,253,0,37,0,2,478,263,1320
GABY HARDWICKE,5,44,26,277,117,15,75,0,33,519,206,1317
CO-OPERATIVE LEGAL SEVICES,7,0,0,124,0,0,0,0,1,1172,11,1315
SQUIRE PATTON BOGGS (UK) LLP,1,21,14,155,94,0,70,0,28,792,138,1313
GORDON BROWN LAW FIRM LLP,3,81,109,243,159,1,137,0,29,372,158,1292
UK LAND SERVICES,0,0,0,0,0,0,0,0,0,1286,1,1287
METAMORPH LAW LIMITED,14,6,7,146,88,0,17,0,13,717,275,1283
TAYLOR WALTON,5,28,21,321,168,0,56,0,18,476,181,1274
DWR CYMRU WELSH WATER,0,0,0,206,0,0,0,0,1,1057,2,1266
THE SPICKETTS BATTRICK LAW PRACTICE,9,14,28,339,244,0,12,0,11,369,221,1247
BOYS & MAUGHAN,2,44,14,255,212,0,72,0,9,412,221,1241
RUSSELL-COOKE LLP,3,28,7,298,104,1,44,0,11,610,134,1240
HERBERT SMITH FREEHILLS LLP,0,3,3,160,24,6,4,0,35,784,214,1233
MFG Solicitors,19,25,22,230,130,3,43,0,23,546,188,1229
MICHELMORES LLP,6,17,11,230,72,4,30,0,46,659,152,1227
LEEDS & HOLBECK BUILDING SOCIETY,0,0,0,1226,0,0,0,0,0,0,0,1226
MORTIMER CLARKE SOLICITORS LIMITED,0,0,0,332,0,0,0,0,0,871,23,1226
BUTCHER & BARLOW,13,19,15,238,171,0,19,0,171,436,139,1221
C B RICHARD ELLIS LTD,0,0,0,0,0,0,0,0,0,1101,114,1215
TARGET GROUP LIMITED,0,0,0,1144,0,0,0,0,0,67,2,1213
P C S,2,19,32,200,166,0,132,0,3,420,238,1212
VEALE WASBROUGH VIZARDS,13,19,12,200,112,4,70,0,90,543,147,1210
SHAWBROOK BANK LIMITED,0,0,0,0,0,22,0,0,0,1185,2,1209
ARDENT MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,1205,2,1207
SILLS AND BETTERIDGE INCORPORATING MACLAREN BRITTO,20,7,21,247,208,0,50,0,33,435,182,1203
BUTTERWORTHS,6,22,31,166,176,0,120,0,16,429,232,1198
HARRISON CLARK RICKERBYS,17,23,18,259,110,2,22,0,18,574,154,1197
KNIGHTSBRIDGE PROP CONSULTANCY LTD,0,0,0,1,0,0,0,0,0,798,398,1197
TOGETHER PERSONAL FINANCE LTD,1,0,0,216,336,1,0,0,0,519,123,1196
TSB BANK PLC MORTGAGE SERVICING,0,0,0,1159,0,0,0,0,0,25,0,1184
MOOREBLATCH,2,20,30,132,63,1,155,0,17,552,210,1182
HYPEROPTIC LTD,0,0,0,0,0,0,0,0,0,1168,0,1168
MOUCHEL LIMITED,0,0,0,0,0,0,0,0,95,1026,45,1166
HOME PROPERTY LAWYERS LIMITED,8,11,14,322,335,0,37,0,20,240,170,1157
GRIFFITHS INGS SOLICITORS,17,24,22,267,219,2,57,0,9,339,197,1153
BRADFORD & BINGLEY PLC,0,0,0,1151,0,0,0,0,0,0,0,1151
SUPPORTA TERRAQUEST,0,0,0,0,0,0,0,0,20,1111,17,1148
SAS DANIELS,14,15,12,172,158,0,25,0,18,416,312,1142
Lockings,2,47,11,250,201,0,85,0,4,420,117,1137
Thackray Williams,2,52,37,247,113,0,153,0,12,375,145,1136
Blemain Finance,0,0,0,477,108,0,0,0,0,499,49,1133
CHARTER COURT FINANCIAL SERVICES LIMTED,0,0,0,614,101,1,0,0,0,411,6,1133
METRO BANK PLC,0,0,0,120,0,0,0,0,0,989,24,1133
HSBC BANK PLC,0,0,0,0,18,0,0,0,0,1008,104,1130
COUNTRYWIDE PROPERTY LAWYERS,35,17,30,923,36,0,20,0,2,40,24,1127
ROYTHORNES LIMITED,16,8,32,196,104,0,31,0,58,539,137,1121
DALCOUR MACLAREN LTD,0,0,0,0,0,0,0,0,0,1012,107,1119
MACFARLANES LLP,0,8,2,134,88,2,5,0,26,659,194,1118
FISHER JONES GREENWOOD (FJG),11,8,44,271,127,1,58,0,21,414,154,1109
HEWITSONS MOORHEAD,5,10,10,292,112,2,31,0,36,474,137,1109
ROBERTSONS LEGAL LIMITED,0,0,0,502,598,0,0,0,0,0,6,1106
DAVIES & PARTNERS,6,28,53,165,104,2,217,0,21,371,138,1105
Stephensons LLP,13,36,17,204,215,0,36,0,20,406,158,1105
BOODLE HATFIELD,2,4,3,48,30,0,4,0,34,669,307,1101
HIGH SPEED TWO (HS2) LTD,0,0,0,0,0,0,0,0,28,1060,13,1101
Lambert Pugh,15,5,12,326,275,0,28,0,3,256,179,1099
FLADGATE LLP,1,13,4,171,101,0,69,0,59,554,123,1095
STEPHENS SCOWN,11,12,28,164,55,3,16,0,98,481,226,1094
SIMPLY CONVEYANCING PROPERTY LAWYERS,5,8,3,181,234,0,16,0,6,376,253,1082
FIDLER & PEPPER,9,15,46,199,198,0,83,0,2,387,139,1078
SEDDONS,2,19,4,239,187,64,22,0,34,384,123,1078
ASHTON KCJ,15,29,44,185,103,1,75,0,16,432,172,1072
STANLEY TEE LLP,17,21,21,188,97,0,22,0,17,559,130,1072
DMH STALLARD,5,39,12,191,73,2,120,0,26,487,111,1066
SCHOFIELD SWEENEY LLP,6,14,12,394,92,2,30,0,14,371,128,1063
KUIT STEINART LEVY,2,27,3,194,193,28,23,0,32,429,131,1062
Goldsmith Williams,9,9,9,214,204,0,10,0,31,341,227,1054
BEVAN BRITTAN,2,9,20,105,74,2,45,0,33,551,208,1049
PROPERTY COMPENSATION CONSLNTS LTD,0,0,0,0,0,0,0,0,0,999,48,1047
Franklins Solicitors LLP,9,7,34,193,151,1,108,0,10,339,189,1041
PLATFORM FUNDING LIMITED,0,0,0,989,0,14,0,0,0,32,4,1039
NATIONWIDE BUILDING SOCIETY,0,0,0,851,6,0,0,0,0,180,1,1038
TRETHOWANS,14,19,14,226,128,1,39,0,25,419,153,1038
MAYO WYNNE BAXTER,6,30,15,189,122,0,23,0,4,449,198,1036
GLOVER PRIEST SOLICITORS LIMITED,10,23,29,293,227,0,27,0,10,301,105,1025
WARD GETHIN ARCHER,23,10,25,228,167,1,35,0,20,346,164,1019
JCP SOLICITORS LIMITED (INC VJG JOHNS & SON),23,0,12,202,177,0,22,0,18,426,134,1014
PEPPER (UK) LIMITED,0,0,0,426,0,0,0,0,0,518,70,1014
Pemberton Greenish LLP,0,12,4,110,23,0,20,0,16,566,260,1011
HEALYS LLP,1,27,7,147,109,0,27,0,7,551,133,1009
FORSHAWS LLP NOW FORSHAWS DAVIES RIDGWAY LLP,5,40,6,115,88,0,111,0,10,545,83,1003
GARNER CANNING & CO SOLICITOR,8,23,30,245,249,0,74,0,5,267,101,1002
THOMSON SNELL & PASSMORE,15,13,7,198,131,0,23,0,19,450,144,1000
NORTON PESKETT (QUALITY SOLICITORS),10,17,44,190,119,0,80,0,17,381,140,998
EMW LAW LLP,22,31,9,155,65,0,57,0,17,566,72,994
SPRATT ENDICOTT,4,22,24,248,122,1,59,0,5,372,128,985
NEWBOLD & CO,7,3,28,184,150,0,102,0,6,307,192,979
Nigel Broadhead Mynard,4,18,16,229,223,0,52,0,8,266,163,979
SINCLAIR TAYLOR DEBT MANAGMNT LTD,0,0,0,0,0,0,0,0,0,974,0,974
T J LEGAL SERVICES LIMITED,18,8,61,183,117,0,125,0,27,281,151,971
BUSINESS ENERGY SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,965,1,966
EMIN READ SOLICITORS,0,35,4,205,176,0,27,0,2,347,165,961
WBW LLP TRADING AS WBW SOLICITORS,8,18,24,230,130,0,26,0,13,362,136,947
Gordons LLP,15,15,25,179,70,0,112,0,31,384,112,943
BBH LEGAL SERVICES LIMITED,8,15,3,215,207,0,17,0,7,395,74,941
PREMIER SOLICITORS LLP,3,18,14,197,127,1,23,0,8,408,141,940
BARNES & PARTNERS,4,25,13,260,164,0,25,0,4,287,152,934
FRASER BROWN,10,15,34,222,128,0,84,0,11,302,128,934
Paul Robinson & Co,8,20,15,177,130,0,102,0,13,338,128,931
AMPHLETT LISSIMORE,5,19,6,178,168,0,22,0,1,367,157,923
SPIRE SOLICITORS LLP,30,2,22,219,116,1,29,0,27,349,128,923
CHRISTIE OWEN & DAVIES PLC,0,0,0,0,0,0,0,0,0,917,2,919
SWITALSKIS LIMITED,12,16,23,190,142,0,67,0,13,297,157,917
THE ROYAL BANK OF SCOTLAND PLC,0,0,0,886,0,0,0,0,0,18,11,915
SINTONS LLP,8,31,17,150,122,0,64,0,43,364,111,910
WATSON RAMSBOTTOM,5,74,48,165,65,0,248,0,6,210,87,908
SLATER & GORDON (UK) LLP,11,13,8,216,113,0,33,0,17,407,88,906
BRACHERS LLP,4,9,11,113,65,0,20,0,8,605,70,905
SLATER HEELIS LLP,6,9,4,161,148,2,23,0,28,389,134,904
ELLISONS,18,10,14,130,78,0,16,0,21,473,142,902
THRINGS LLP,8,9,7,174,54,2,26,0,25,459,138,902
BSG SOLICITORS,0,1,0,338,104,0,5,0,1,409,42,900
